model_year,mpg,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,18,3504,,corelation = ,-0.831740933,,,,,,,,,,corelation= ,0.579267133,,,,,,,,,,,,,,,,,
70,15,3693,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Average of Horsepower/Cylinders,,Row Labels,Average of acceleration,,Row Labels,Average of acceleration
70,18,3436,,,,,,,,,,,,,,,,,,,,,,,,bmw,27.875,,mercedes,20.1,,usa,15.03373494
70,16,3433,,,,,,,,,,,,,,,,,,,,,,,,saab,27.1875,,peugeot,19.55,,japan,16.1721519
70,17,3449,,,,,,,,,,,,,,,,,,,,,,,,toyouta,24.25,,mercedes-benz,19.25,,europe,16.78714286
70,15,4341,,,,,,,,,,,,,,,,,,,,,,,,hi,24.125,,vw,18.81666667,,Grand Total,15.56809045
70,14,4354,,,,,,,,,,,,,,,,,,,,,,,,capri,23,,chevroelt,18.5,,,
70,14,4312,,,,,,,,,,,,,,,,,,,,,,,,volvo,22.32142857,,hi,18.5,,,
70,14,4425,,,,,,,,,,,,,,,,,,,,,,,,maxda,22.14285714,,renault,17,,,
70,15,3850,,,,,,,,,,,,,,,,,,,,,,,,nissan,22,,volkswagen,16.98,,,
70,15,3563,,,,,,,,,,,,,,,,,,,,,,,,triumph,22,,subaru,16.925,,,
70,14,3609,,,,,,,,,,,,,,,,,,,,,,,,chrysler,21.95238095,,mazda,16.44,,,
70,15,3761,,,,,,,,,,,,,,,,,,,,,,,,pontiac,21.91,,datsun,16.40869565,,,
70,14,3086,,,,,,,,,,,,,,,,,,,,,,,,chevy,21.35,,toyota,16.1,,,
70,24,2372,,,,,,,,,,,,,,,,,,,,,,,,buick,21.08181818,,oldsmobile,16.02,,,
70,22,2833,,,,,,,,,,,,,,,,,,,,,,,,mazda,21,,honda,15.99230769,,,
70,18,2774,,,,,,,,,,,,,,,,,,,,,,,,peugeot,20.70588235,,audi,15.94285714,,,
70,21,2587,,,,,,,,,,,,,,,,,,,,,,,,opel,20.25,,fiat,15.65,,,
70,27,2130,,,r value range,Interpretation,,,,,,,,,,,,,,,,,,,,audi,20.23333333,,volvo,15.56666667,,,
70,26,1835,,,+0.7 to +1.0,Strong positive correlation,,,,,,,,,,,,,,,,,,,,toyota,19.67924528,,chevy,15.46666667,,,
70,25,2672,,,+0.3 to +0.7,Moderate positive correlation,,,,,,,,,,,,,,,,,,,,datsun,19.67346939,,ford,15.37843137,,,
70,24,2430,,,0 to +0.3,Weak positive correlation,,,,,,,,,,,,,,,,,,,,dodge,19.5297619,,chevrolet,15.32093023,,,
70,25,2375,,,0,No correlation,,,,,,,,,,,,,,,,,,,,cadillac,19.0625,,vokswagen,15.3,,,
70,26,2234,,,-0.3 to 0,Weak negative correlation,,,,,,,,,,,,,,,,,,,,mercedes-benz,18.7,,amc,15.26428571,,,
70,21,2648,,,-0.7 to -0.3,Moderate negative correlation,,,,,,,,,,,,,,,,,,,,plymouth,18.56989247,,opel,15.225,,,
70,10,4615,,,-1.0 to -0.7,Strong negative correlation,,,,,,,,,,,,,,,,,,,,chevrolet,18.39393939,,saab,15.175,,,
70,10,4376,,,,,,,,,,,,,,,,,,,,,,,,subaru,18.375,,triumph,15.1,,,
70,11,4382,,,,,,,,,,,,,,,,,,,,,,,,fiat,18.34375,,mercury,14.96363636,,,
70,9,4732,,,,,,,,,,,,,,,,,,,,,,,,mercury,18.30555556,,capri,14.9,,,
71,27,2130,,,,,,,,,,,,,,,,,,,,,,,,chevroelt,17.5,,plymouth,14.8516129,,,
71,28,2264,,,,,,,,,,,,,,,,,,,,,,,,amc,17.3988764,,cadillac,14.75,,,
71,25,2228,,,,,,,,,,,,,,,,,,,,,,,,ford,17.37741935,,buick,14.7,,,
71,25,2046,,,,,,,,,,,,,,,,,,,,,,,,honda,16.96153846,,nissan,14.5,,,
71,19,2634,,,,,,,,,,,,,,,,,,,,,,,,oldsmobile,16.94444444,,toyouta,14.5,,,
71,16,3439,,,,,,,,,,,,,,,,,,,,,,,,volkswagen,16.4,,dodge,14.46071429,,,
71,17,3329,,,,,,,,,,,,,,,,,,,,,,,,vokswagen,15.5,,maxda,14.35,,,
71,19,3302,,,,,,,,,,,,,,,,,,,,,,,,mercedes,15.4,,pontiac,14.08125,,,
71,18,3288,,,,,,,,,,,,,,,,,,,,,,,,vw,15.20833333,,chrysler,13.3,,,
71,14,4209,,,,,,,,,,,,,,,,,,,,,,,,renault,10.5,,bmw,12.65,,,
71,14,4464,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,18.86319668,,Grand Total,15.56809045,,,
71,14,4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,14,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,4955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,13,4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,13,5140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22,2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,19,3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18,3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,23,2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,28,2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,30,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,30,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,35,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,27,1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,26,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,24,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,25,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,23,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20,2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,21,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13,4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,14,4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,15,4135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,14,4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,17,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,11,4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13,4502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12,4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
